9780869809181,Basali!: Stories by and about Women in Lesotho,K. Limakatso Kendall,Anthologies  Southern African History, In a prolific and varied oeuvre that ranges over essays  plays  c,1,25,0
9781563976988,How God Fix Jonah,Lorenz Graham,Bible - Stories  African Literature Anthologies,Middlebury College and lives in Vermont with his wife  the writer Sue Halpern  and their daughter. ,0,26,0
9781919931234,Glass Jars among Trees,Arja Salafranca,African Literature Anthologies, Wally Lamb s books are neither short nor simple  but like a James Patterson of emotions,0,27,0
9780325002118,Running Towards Us: New Writing from South Africa,Isabel Balseiro,African Literature Anthologies, In a prolific and varied oeuvre that ranges over essays  plays  c,1,20,0
9780739105634,Of Suffocated Hearts And Tortured Souls,Valerie Key Orlando,Social Sciences  Women s Studies,  Bill McKibben  is the author of ten books  including  The End of Nature    Monthly   and  The New a scholar in residence at Middlebury College and lives in Vermont with his wife  the writer Sue Halpern  and their daughter. ,0,10,0
9780814781449,An Anthology of Interracial Literature,Werner Sollors,Literary Criticism  American, One of our most popular  respected  and controversial literary critics  Yale University pro,1,13,0
9780939691029,Among the Blacks,Ron Padgett,African Literature Anthologies, Wally Lamb s books are neither short nor simple  but like a James Patterson of emotions,0,8,0
9780446579223,The Daily Show with Jon Stewart Presents Earth ,Jon Stewart,Humor, In a prolific and varied oeuvre that ranges over essays  plays  c,0,7,0
9780547241630,The Best American Nonrequired Reading 2010,Dave Eggers,American Literature Anthologies  Fiction Subjects,  Bill McKibben  is the author of ten books  including  The End of Nature    Monthly   and  The New York Review of Books   among other publications. He is a scholar in residence at Middlebury College and lives in Vermont with his wife  the writer Sue Halpern  and their daughter. ,1,6,0
9781607886150,The Daily Show with Jon Stewart Presents Earth ,Jon Stewart,Literary Collections, One of our most popular  respected  and controversial literary critics  Yale University pro,1,22,0
9780486285535,100 Best-Loved Poems,Philip Smith,Poetry Anthologies, Wally Lamb s books are neither short nor simple  but like a James Patterson of emotions,1,44,0
9780393930573,The Norton Anthology of American Literature,Wayne Franklin,American Literature Anthologies, In a prolific and varied oeuvre that ranges over essays  plays  c,1,55,0
9781615521647,The Best American Poetry 2009,David Wagoner,American Literature Anthologies  Fiction Subjects,  Bill McKibben  is the author of ten books  including  The End of Nature    Monthly   and  The New York Review of Books   among other publications. He is a scholar in residence at Middlebury College and lives in Vermont with his wife  the writer Sue Halpern  and their daughter. ,0,77,0
